date	name	return
2025-10-31T00:00:00	Indexed Conservative	1.1900
2025-10-31T00:00:00	Indexed Stable	0.9000
2025-09-30T00:00:00	Stable	0.6200
2025-09-30T00:00:00	Conservative	0.8600
2025-09-30T00:00:00	SRI - Balanced	1.1400
2025-09-30T00:00:00	Indexed Balanced	0.8200
2025-09-30T00:00:00	Balanced	1.0300
2025-09-30T00:00:00	Growth	1.1500
2025-09-30T00:00:00	Cash	0.3200
2025-09-30T00:00:00	Bonds	0.3500
2025-09-30T00:00:00	Australian Shares	-0.0600
2025-09-30T00:00:00	International Shares	2.5200
2025-09-30T00:00:00	International Shares - Indexed	1.8000
2025-09-30T00:00:00	Bonds – Indexed	0.4100
2025-09-30T00:00:00	Australian Shares – Indexed	-0.5900
2025-09-30T00:00:00	Defensive	0.4400
2025-09-30T00:00:00	Indexed Defensive	0.4000
2025-09-30T00:00:00	SRI - Defensive	0.4200
2025-09-30T00:00:00	High Growth	1.2900
2025-09-30T00:00:00	Indexed High Growth	0.8000
2025-09-30T00:00:00	SRI - High Growth	1.3400
2025-09-30T00:00:00	Indexed Growth 	0.9200
2025-09-30T00:00:00	Indexed Conservative	0.6800
2025-09-30T00:00:00	Indexed Stable	0.5900
2025-09-30T00:00:00	Stable	0.6200
2025-09-30T00:00:00	Conservative	0.8600
2025-09-30T00:00:00	SRI - Balanced	1.1400
2025-09-30T00:00:00	Indexed Balanced	0.8200
2025-09-30T00:00:00	Balanced	1.0300
2025-09-30T00:00:00	Growth	1.1500
2025-09-30T00:00:00	Cash	0.3200
2025-09-30T00:00:00	Bonds	0.3500
2025-09-30T00:00:00	Australian Shares	-0.0600
2025-09-30T00:00:00	International Shares	2.5200
2025-09-30T00:00:00	International Shares - Indexed	1.8000
2025-09-30T00:00:00	Bonds – Indexed	0.4100
2025-09-30T00:00:00	Australian Shares – Indexed	-0.5900
2025-09-30T00:00:00	Defensive	0.4400
2025-09-30T00:00:00	Indexed Defensive	0.4000
2025-09-30T00:00:00	SRI - Defensive	0.4200
2025-09-30T00:00:00	High Growth	1.2900
2025-09-30T00:00:00	Indexed High Growth	0.8000
2025-09-30T00:00:00	SRI - High Growth	1.3400
2025-09-30T00:00:00	Indexed Growth 	0.9200
2025-09-30T00:00:00	Indexed Conservative	0.6800
2025-09-30T00:00:00	Indexed Stable	0.5900
2025-08-31T00:00:00	Stable	0.7000
2025-08-31T00:00:00	Conservative	1.0000
2025-08-31T00:00:00	SRI - Balanced	1.3200
2025-08-31T00:00:00	Indexed Balanced	1.6400
2025-08-31T00:00:00	Balanced	1.2000
2025-08-31T00:00:00	Growth	1.5000
2025-08-31T00:00:00	Cash	0.2700
2025-08-31T00:00:00	Bonds	0.5600
